category_number,category_name,etl_date
1011100,BLENDED WHISKIES,2025-02-25T12:42:12.892315
1011200,STRAIGHT BOURBON WHISKIES,2025-02-25T12:42:12.892315
1011300,SINGLE BARREL BOURBON WHISKIES,2025-02-25T12:42:12.892315
1011400,TENNESSEE WHISKIES,2025-02-25T12:42:12.892315
1011500,BOTTLED IN BOND BOURBON,2025-02-25T12:42:12.892315
1011600,STRAIGHT RYE WHISKIES,2025-02-25T12:42:12.892315
1011700,CORN WHISKIES,2025-02-25T12:42:12.892315
1012100,CANADIAN WHISKIES,2025-02-25T12:42:12.892315
1012200,,2025-02-25T12:42:12.892315
1012200,SCOTCH WHISKIES,2025-02-25T12:42:12.892315
1012300,SINGLE MALT SCOTCH,2025-02-25T12:42:12.892315
1012400,IRISH WHISKIES,2025-02-25T12:42:12.892315
1022100,MIXTO TEQUILA,2025-02-25T12:42:12.892315
1022200,100% AGAVE TEQUILA,2025-02-25T12:42:12.892315
1022300,MEZCAL,2025-02-25T12:42:12.892315
1031080,VODKA 80 PROOF,2025-02-25T12:42:12.892315
1031100,AMERICAN VODKAS,2025-02-25T12:42:12.892315
1031200,AMERICAN FLAVORED VODKA,2025-02-25T12:42:12.892315
1032000,IMPORTED VODKAS,2025-02-25T12:42:12.892315
1032080,IMPORTED VODKAS,2025-02-25T12:42:12.892315
1032100,IMPORTED VODKAS,2025-02-25T12:42:12.892315
1032200,IMPORTED FLAVORED VODKA,2025-02-25T12:42:12.892315
1041100,AMERICAN DRY GINS,2025-02-25T12:42:12.892315
1041200,FLAVORED GIN,2025-02-25T12:42:12.892315
1041300,AMERICAN SLOE GINS,2025-02-25T12:42:12.892315
1042100,IMPORTED DRY GINS,2025-02-25T12:42:12.892315
1051100,AMERICAN BRANDIES,2025-02-25T12:42:12.892315
1052100,IMPORTED BRANDIES,2025-02-25T12:42:12.892315
1062100,GOLD RUM,2025-02-25T12:42:12.892315
1062200,WHITE RUM,2025-02-25T12:42:12.892315
1062300,AGED DARK RUM,2025-02-25T12:42:12.892315
1062310,SPICED RUM,2025-02-25T12:42:12.892315
1062400,SPICED RUM,2025-02-25T12:42:12.892315
1062500,FLAVORED RUM,2025-02-25T12:42:12.892315
1071000,COCKTAILS/RTD,2025-02-25T12:42:12.892315
1071100,COCKTAILS/RTD,2025-02-25T12:42:12.892315
1081000,AMERICAN CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
1081100,COFFEE LIQUEURS,2025-02-25T12:42:12.892315
1081200,CREAM LIQUEURS,2025-02-25T12:42:12.892315
1081300,AMERICAN CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
1081400,AMERICAN SCHNAPPS,2025-02-25T12:42:12.892315
1081500,TRIPLE SEC,2025-02-25T12:42:12.892315
1081600,WHISKEY LIQUEUR,2025-02-25T12:42:12.892315
1082000,IMPORTED CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
1082100,IMPORTED CORDIALS & LIQUEURS,2025-02-25T12:42:12.892315
1082200,IMPORTED SCHNAPPS,2025-02-25T12:42:12.892315
1091100,AMERICAN DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
1091200,NEUTRAL GRAIN SPIRITS,2025-02-25T12:42:12.892315
1091300,NEUTRAL GRAIN SPIRITS FLAVORED,2025-02-25T12:42:12.892315
1092000,IMPORTED DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
1092100,IMPORTED DISTILLED SPIRITS SPECIALTY,2025-02-25T12:42:12.892315
1700000,TEMPORARY & SPECIALTY PACKAGES,2025-02-25T12:42:12.892315
1701100,TEMPORARY & SPECIALTY PACKAGES,2025-02-25T12:42:12.892315
1901000,SPECIAL ORDER ITEMS,2025-02-25T12:42:12.892315
10110000,AMERICAN WHISKIES,2025-02-25T12:42:12.892315
10111000,BLENDED WHISKIES,2025-02-25T12:42:12.892315
10112000,STRAIGHT BOURBON WHISKIES,2025-02-25T12:42:12.892315
10112500,SINGLE BARREL BOURBON WHISKIES,2025-02-25T12:42:12.892315
10113000,TENNESSEE WHISKIES,2025-02-25T12:42:12.892315
10114000,TENNESSEE WHISKIES,2025-02-25T12:42:12.892315
10115000,BOTTLED IN BOND BOURBON,2025-02-25T12:42:12.892315
10116000,STRAIGHT RYE WHISKIES,2025-02-25T12:42:12.892315
10117000,CORN WHISKIES,2025-02-25T12:42:12.892315
10118000,IOWA DISTILLERY WHISKIES,2025-02-25T12:42:12.892315
10120000,IMPORTED WHISKIES,2025-02-25T12:42:12.892315
10121000,CANADIAN WHISKIES,2025-02-25T12:42:12.892315
10122000,SCOTCH WHISKIES,2025-02-25T12:42:12.892315
10122100,SINGLE MALT SCOTCH,2025-02-25T12:42:12.892315
10123000,IRISH WHISKIES,2025-02-25T12:42:12.892315
10124000,IRISH WHISKIES,2025-02-25T12:42:12.892315
10221000,MIXTO TEQUILA,2025-02-25T12:42:12.892315
10222000,100% AGAVE TEQUILA,2025-02-25T12:42:12.892315
10223000,MEZCAL,2025-02-25T12:42:12.892315
10310000,AMERICAN VODKAS,2025-02-25T12:42:12.892315
10310800,VODKA 80 PROOF,2025-02-25T12:42:12.892315
10310900,OTHER PROOF VODKA,2025-02-25T12:42:12.892315
10311000,AMERICAN VODKAS,2025-02-25T12:42:12.892315
10311100,LOW PROOF VODKA,2025-02-25T12:42:12.892315
10312000,AMERICAN FLAVORED VODKA,2025-02-25T12:42:12.892315
10320000,IMPORTED VODKAS,2025-02-25T12:42:12.892315
10320800,IMPORTED VODKAS,2025-02-25T12:42:12.892315
10321000,IMPORTED VODKAS,2025-02-25T12:42:12.892315
10322000,IMPORTED FLAVORED VODKA,2025-02-25T12:42:12.892315
10322300,IMPORTED VODKA - CHERRY,2025-02-25T12:42:12.892315
10411000,AMERICAN DRY GINS,2025-02-25T12:42:12.892315
10411500,FLAVORED GINS,2025-02-25T12:42:12.892315
10412000,FLAVORED GIN,2025-02-25T12:42:12.892315
10413000,AMERICAN SLOE GINS,2025-02-25T12:42:12.892315
10420000,IMPORTED GINS,2025-02-25T12:42:12.892315
10421000,IMPORTED DRY GINS,2025-02-25T12:42:12.892315
10510100,AMERICAN GRAPE BRANDIES,2025-02-25T12:42:12.892315
10511000,AMERICAN BRANDIES,2025-02-25T12:42:12.892315
10511100,BLACKBERRY BRANDIES,2025-02-25T12:42:12.892315
10511200,CHERRY BRANDIES,2025-02-25T12:42:12.892315
10511400,PEACH BRANDIES,2025-02-25T12:42:12.892315
