item_number,item_description,etl_date
100001,ABSENTE W/GLASS & SPOON PACK,2025-02-25T12:43:14.229347
100005,GLENLIVET W/50ML 15YR & FOUNDERS RESERVE,2025-02-25T12:43:14.229347
100006,CRYSTAL HEAD VODKA W/ CRYSTAL STOPPER,2025-02-25T12:43:14.229347
100015,FIREBALL CINNAMON WHISKEY BAG IN BOX,2025-02-25T12:43:14.229347
100017,HORNITOS REPOSADO W/ HORNITOS PLATA 200ML,2025-02-25T12:43:14.229347
100018,BARENJAGER HONEY W/2 ROCKS GLASSES,2025-02-25T12:43:14.229347
100022,FORTY CREEK W/THERMOS,2025-02-25T12:43:14.229347
100024,FERNET BRANCA LIQUEUR W/2 BODEGA GLASSES,2025-02-25T12:43:14.229347
100025,THREE OLIVES W/3-50MLS,2025-02-25T12:43:14.229347
100026,ABSOLUT W/FEVER TREE GINGER BEER,2025-02-25T12:43:14.229347
100027,ABSOLUT CITRON W/ FEVER TREE GINGER BEER,2025-02-25T12:43:14.229347
100032,HENNESSY XO W/2 GLASSES,2025-02-25T12:43:14.229347
100033,DISARONNO AMARETTO ETRO W/2 GLASSES,2025-02-25T12:43:14.229347
100035,TEMPLETON 4YR RYE W/2 TUMBLER GLASSES,2025-02-25T12:43:14.229347
100037,SMIRNOFF 1.75L PET W/2-50ML SMIRNOFF PEPPERMINT,2025-02-25T12:43:14.229347
100040,GRAND MARNIER W/2 SHOT GLASSES,2025-02-25T12:43:14.229347
100041,HENNESSY V.S.O.P PRIVILEGE W/2 GLASSES,2025-02-25T12:43:14.229347
100046,DISARONNO ETRO MIGNON COUNTER UNIT,2025-02-25T12:43:14.229347
100051,GLENMORANGIE ORIGINAL W/2 CRAFTSMAN CUPS,2025-02-25T12:43:14.229347
100054,JIM BEAM DOUBLE OAK IN GIFT BOX,2025-02-25T12:43:14.229347
10006,SCORESBY RARE SCOTCH,2025-02-25T12:43:14.229347
100065,ARDBEG 10YR QUADRANT & 50ML UIGEADAIL,2025-02-25T12:43:14.229347
100068,CEDAR RIDGE AMERICAN WHISKEY EXPLORER PACK,2025-02-25T12:43:14.229347
100071,ABSOLUT W/ P&M GINGER BEER,2025-02-25T12:43:14.229347
100075,"JIM BEAM APPLE, KENTUCKY FIRE & HONEY 3-PACK",2025-02-25T12:43:14.229347
