county_number,county,city,etl_date
,POLK,ALTOONA,2025-02-25T12:41:31.174368
1,ADAIR,ADAIR,2025-02-25T12:41:31.174368
10,BUCHANAN,INDEPENDENCE,2025-02-25T12:41:31.174368
11,BUENA VISTA,STORM LAKE,2025-02-25T12:41:31.174368
12,BUTLER,CLARKSVILLE,2025-02-25T12:41:31.174368
13,CALHOUN,ROCKWELL CITY,2025-02-25T12:41:31.174368
14,CARROLL,MANNING,2025-02-25T12:41:31.174368
15,CASS,ATLANTIC,2025-02-25T12:41:31.174368
16,CEDAR,TIPTON,2025-02-25T12:41:31.174368
17,CERRO GORDO,MASON CITY,2025-02-25T12:41:31.174368
18,CHEROKEE,MARCUS,2025-02-25T12:41:31.174368
19,CHICKASAW,NEW HAMPTON,2025-02-25T12:41:31.174368
2,ADAMS,CORNING,2025-02-25T12:41:31.174368
20,CLARKE,OSCEOLA,2025-02-25T12:41:31.174368
21,CLAY,SPENCER,2025-02-25T12:41:31.174368
22,CLAYTON,GUTTENBERG,2025-02-25T12:41:31.174368
23,CLINTON,CLINTON,2025-02-25T12:41:31.174368
24,CRAWFORD,DENISON,2025-02-25T12:41:31.174368
25,DALLAS,WAUKEE,2025-02-25T12:41:31.174368
26,DAVIS,BLOOMFIELD,2025-02-25T12:41:31.174368
27,DECATUR,LEON,2025-02-25T12:41:31.174368
28,DELAWARE,MANCHESTER,2025-02-25T12:41:31.174368
29,DES MOINES,BURLINGTON,2025-02-25T12:41:31.174368
3,ALLAMAKEE,WAUKON,2025-02-25T12:41:31.174368
30,DICKINSON,SPIRIT LAKE,2025-02-25T12:41:31.174368
31,DUBUQUE,DUBUQUE,2025-02-25T12:41:31.174368
32,EMMET,ESTHERVILLE,2025-02-25T12:41:31.174368
33,FAYETTE,OELWEIN,2025-02-25T12:41:31.174368
34,FLOYD,CHARLES CITY,2025-02-25T12:41:31.174368
35,FRANKLIN,HAMPTON,2025-02-25T12:41:31.174368
36,FREMONT,SIDNEY,2025-02-25T12:41:31.174368
37,GREENE,SCRANTON,2025-02-25T12:41:31.174368
38,GRUNDY,WELLSBURG,2025-02-25T12:41:31.174368
39,GUTHRIE,STUART,2025-02-25T12:41:31.174368
4,APPANOOSE,CENTERVILLE,2025-02-25T12:41:31.174368
40,HAMILTON,WEBSTER CITY,2025-02-25T12:41:31.174368
41,HANCOCK,GARNER,2025-02-25T12:41:31.174368
42,HARDIN,HUBBARD,2025-02-25T12:41:31.174368
43,HARRISON,MISSOURI VALLEY,2025-02-25T12:41:31.174368
44,HENRY,WINFIELD,2025-02-25T12:41:31.174368
45,HOWARD,CRESCO,2025-02-25T12:41:31.174368
46,HUMBOLDT,HUMBOLDT,2025-02-25T12:41:31.174368
47,IDA,HOLSTEIN,2025-02-25T12:41:31.174368
48,IOWA,WILLIAMSBURG,2025-02-25T12:41:31.174368
49,JACKSON,MAQUOKETA,2025-02-25T12:41:31.174368
5,AUDUBON,AUDUBON,2025-02-25T12:41:31.174368
50,JASPER,NEWTON,2025-02-25T12:41:31.174368
51,JEFFERSON,FAIRFIELD,2025-02-25T12:41:31.174368
52,JOHNSON,IOWA CITY,2025-02-25T12:41:31.174368
53,JONES,ANAMOSA,2025-02-25T12:41:31.174368
54,KEOKUK,SIGOURNEY,2025-02-25T12:41:31.174368
55,KOSSUTH,BANCROFT,2025-02-25T12:41:31.174368
56,LEE,FORT MADISON,2025-02-25T12:41:31.174368
57,LINN,CEDAR RAPIDS,2025-02-25T12:41:31.174368
58,LOUISA,MORNING SUN,2025-02-25T12:41:31.174368
59,LUCAS,CHARITON,2025-02-25T12:41:31.174368
6,BENTON,ATKINS,2025-02-25T12:41:31.174368
60,LYON,INWOOD,2025-02-25T12:41:31.174368
61,MADISON,WINTERSET,2025-02-25T12:41:31.174368
62,MAHASKA,OSKALOOSA,2025-02-25T12:41:31.174368
63,MARION,PELLA,2025-02-25T12:41:31.174368
64,MARSHALL,MARSHALLTOWN,2025-02-25T12:41:31.174368
65,MILLS,GLENWOOD,2025-02-25T12:41:31.174368
66,MITCHELL,OSAGE,2025-02-25T12:41:31.174368
67,MONONA,MAPLETON,2025-02-25T12:41:31.174368
68,MONROE,LOVILIA,2025-02-25T12:41:31.174368
69,MONTGOMERY,RED OAK,2025-02-25T12:41:31.174368
