store_number,store_name,zip_code,address,store_location,etl_date
10003,TOP SHELF LIQUOR / IOWA CITY,52246,412 HIGHWAY 1,POINT(-77.31187 35.96278),2025-02-25T12:40:58.468704
10004,JACK & JILL STORE / WEST BRANCH,523580,115 EAST MAIN STREET,POINT(-91.34341301 41.670494006),2025-02-25T12:40:58.468704
10005,THE CROWN LIQUOR / IOWA CITY,522400,324 EAST WASHINGTON STREET,POINT(-91.5306 41.66006),2025-02-25T12:40:58.468704
10016,KWIK STAR #1180 / PERRY,502200,511 1ST AVE,POINT(-94.10654 41.83261),2025-02-25T12:40:58.468704
10017,KWIK STAR #1119 / EMMETSBURG,505360,1303 MAIN ST,POINT(-94.668298 43.111971),2025-02-25T12:40:58.468704
10018,KWIK STAR #710 / TOLEDO,523420,1002 SOUTH COUNTY RD,POINT(-92.582678987 41.986220014),2025-02-25T12:40:58.468704
10019,OELWEIN MART / OELWEIN,50662,801 EAST CHARLES STREET,POINT(-91.902341029 42.679208989),2025-02-25T12:40:58.468704
10020,LOCAL LIQUOR / PANORA,502160,603 EAST MAIN STREET,POINT(-94.35720802 41.692593983),2025-02-25T12:40:58.468704
10021,WORLD CLASS LIQUOR AND TOBACCO / BONDURANT,500350,96 PAINE CIRCLE SE 1 & 2,POINT(-93.450674011 41.69868901),2025-02-25T12:40:58.468704
10023,HY-VEE FAST AND FRESH #3 (7592) / WEST DES MOINES,502650,300 GRAND AVENUE,POINT(-93.70588402 41.5824269840001),2025-02-25T12:40:58.468704
10024,HY-VEE FAST AND FRESH #2 (7591) / WEST DES MOINES,50266,9150 SOUTHEAST UNIVERSITY AVENUE,POINT(-93.828135968 41.600397942),2025-02-25T12:40:58.468704
10025,HY-VEE FAST AND FRESH #4 (7583) / URBANDALE,503230,14200 DOUGLAS AVENUE,POINT(-93.814346645 41.629262706),2025-02-25T12:40:58.468704
10028,DUAL STOP CARTER LAKE / CARTER LAKE,515100,109 EAST LOCUST STREET,POINT(-95.9290154989999 41.285001375),2025-02-25T12:40:58.468704
10029,ROYAL MART / DES MOINES,503120,111 SOUTHWEST 63RD STREET,POINT(-93.702869971 41.578782993),2025-02-25T12:40:58.468704
10030,LEGENDARY RYE / BAD BEAR ENTERPRISES,514010,707 N. MAIN STREET,POINT(-94.866874001 42.067186014),2025-02-25T12:40:58.468704
10032,KWIK STAR #1158 / AMES,50010,1910 ISAAC NEWTON DR.,POINT(-93.587699017 42.008984006),2025-02-25T12:40:58.468704
10033,EMPIRE LIQUOR AND TOBACCO / HIAWATHA,52233,830 ROBINS ROAD,POINT(-91.67297 42.04614),2025-02-25T12:40:58.468704
10034,HY-VEE FAST AND FRESH #5 (7584) / URBANDALE,503230,15501 MEREDITH DRIVE,POINT(-93.83258 41.64379),2025-02-25T12:40:58.468704
10035,LIQUOR TOBACCO & VAPE / CLINTON,527320,122 SOUTH 2ND STREET,POINT(-90.18828 41.84508),2025-02-25T12:40:58.468704
10036,TOBACCO OUTLET PLUS #504 / DUBUQUE,520010,"806 WACKER DR., STE 140",POINT(-90.718880003 42.4929990170001),2025-02-25T12:40:58.468704
10037,WHISKEY WOLF LIQUOR / GLENWOOD,515340,411 S LOCUST ST,POINT(-95.744128011 41.042050003),2025-02-25T12:40:58.468704
10038,KUM & GO #1074 / WDM,50266,330 JORDAN CREEK PARKWAY,POINT(-93.80923 41.56381),2025-02-25T12:40:58.468704
10039,LIQUOR LOVERS / ANKENY,500230,1510 SOUTH ANKENY BOULEVARD PRAIRIE TRAIL SUITE 106 108,POINT(-93.601740968 41.716028988),2025-02-25T12:40:58.468704
10040,HOSPERS MINI MART / HOSPERS,512380,4501 400TH STREET,POINT(-95.8977686 43.069139257),2025-02-25T12:40:58.468704
10041,HY-VEE (1516) / PELLA,50219,118 SOUTHEAST 9TH STREET,POINT(-92.90226 41.39634),2025-02-25T12:40:58.468704
10042,ELKADER PRONTO MARKET / ELKADER,520430,107 1ST STREET SW,POINT(-91.404680028 42.853593017),2025-02-25T12:40:58.468704
10043,GARNAVILLO SPEEDE SHOPPE / GARNAVILLO,520490,204 N MAIN ST.,POINT(-91.235788032 42.868918992),2025-02-25T12:40:58.468704
10044,ELKADER FAST TRAK / ELKADER,52043,24687 HIGHWAY 13,POINT(-91.387492 42.864241),2025-02-25T12:40:58.468704
10045,COUNTRY FOODS / BELLE PLAINE,522080,1206 7TH AVE.,POINT(-92.278561998 41.896483988),2025-02-25T12:40:58.468704
10046,TRANSIT GENERAL STORE / SIOUX CITY,511060,2324 TRANSIT AVENUE,POINT(-96.378155032 42.476641984),2025-02-25T12:40:58.468704
10048,KWIK STAR #1156 / OELWEIN,506620,1350 INDUSTRIAL PARK DR.,POINT(-91.909243023 42.659310979),2025-02-25T12:40:58.468704
10049,JEFFS FOODS REMSEN / REMSEN,51050,306 S WASHINGTON ST,POINT(-95.973740023 42.813290983),2025-02-25T12:40:58.468704
10050,TOBACCO HUT / ANKENY,500230,121 N. ANKENY BLVD.,POINT(-93.59985 41.73293),2025-02-25T12:40:58.468704
10051,KWIK STAR #1172 / MARION,523020,3055 7TH AVE.,POINT(-91.58008996 42.033046019),2025-02-25T12:40:58.468704
10052,KWIK STAR #1097 / URBANDALE,503220,10101 PLUM DR.,POINT(-93.7574 41.65002),2025-02-25T12:40:58.468704
10053,JJ GAS AND FOOD / SPRINGVILLE,523360,510 1ST AVENUE,POINT(-91.445884961 42.053632979),2025-02-25T12:40:58.468704
10057,KWIK STAR #1186 / ALTOONA,500090,2030 21ST ST NW,POINT(-78.41659 40.51419),2025-02-25T12:40:58.468704
10058,WEST SIDE GROCERY,528020,1802 WEST 7TH STREET,POINT(-90.601321967 41.526941006),2025-02-25T12:40:58.468704
10059,VALENTINA MEXICAN GROCERY STORE / EAGLE GROVE,505330,223 WEST BROADWAY STREET,POINT(-93.904256008 42.66433702),2025-02-25T12:40:58.468704
10060,SUPER STOP / ALTOONA,500090,2635 ADVENTURELAND DRIVE,POINT(-93.4947 41.6588),2025-02-25T12:40:58.468704
10061,BIG 10 MART #19 / HIAWATHA,522330,1225 BOYSON ROAD,POINT(-91.689646967 42.0435969910001),2025-02-25T12:40:58.468704
10062,KWIK STAR #711 / MONONA,521590,12801 FALCON AVE.,POINT(-91.39066 43.04),2025-02-25T12:40:58.468704
10063,IB PONY / WATERLOO,507030,9 N ELK RUN ROAD,POINT(-92.25888 42.49876),2025-02-25T12:40:58.468704
10064,BEER CITY,515610,58231 190TH STREET,POINT(-95.82302 41.04165),2025-02-25T12:40:58.468704
10065,MADELLA WINE AND SPIRITS / BETTENDORF,527220,3263 MOENCKS COURT UNIT 3265,POINT(-90.4491193 41.555967972),2025-02-25T12:40:58.468704
10066,CVS / PHARMACY #8539 / IOWA CITY,522400,201 SOUTH CLINTON STREET,POINT(-91.53464 41.65923),2025-02-25T12:40:58.468704
10067,BP TO GO #2 / CEDAR RAPIDS,524020,1120 OLD MARION ROAD NORTHEAST NOELRIDGE PARK,POINT(-91.65122395 42.021029959),2025-02-25T12:40:58.468704
10068,ESSENTIALS PLUS / CLINTON,527320,2712 SOUTH 25TH STREET SUITE D3,POINT(-90.24521396 41.818256984),2025-02-25T12:40:58.468704
10070,LE CLAIRE GROCERY STORE / LE CLAIRE,527530,536 NORTH CODY ROAD,POINT(-90.343808418 41.6028160700001),2025-02-25T12:40:58.468704
10071,HIWAY 20 LIQUOR AND TOBACCO / FORT DODGE,505010,33 NORTH 12TH STREET,POINT(-94.18269 42.50699),2025-02-25T12:40:58.468704
10072,EXPRESS MART / MUSCATINE,527610,4804 US 61,POINT(-91.129060828 41.371206014),2025-02-25T12:40:58.468704
10073,FAREWAY STORES INC #229 / ODGEN,50212,302 WEST WALNUT STREET,POINT(-94.031072023 42.038769015),2025-02-25T12:40:58.468704
10074,COSTCO WHOLESALE #1630 / ANKENY,50021,4000 NE SPECTRUM DRIVE,POINT(-93.56661 41.76371),2025-02-25T12:40:58.468704
10075,KINGS MART #51 / CEDAR RAPIDS,524040,2330 WILEY BLVD.,POINT(-91.72583 41.95604),2025-02-25T12:40:58.468704
10076,HOMETOWN SPIRITS / TIFFIN,52340,119 WEST MARENGO ROAD,POINT(-91.66472 41.70709),2025-02-25T12:40:58.468704
10077,HAWKS SMOKE SHOP / MARION,523020,1396 7TH AVE,POINT(-91.594660977 42.033569008),2025-02-25T12:40:58.468704
10078,KWIK STAR #1155 / PLEASANT HILL,50327,1101 NE 56TH STREET,POINT(-93.50323 41.59956),2025-02-25T12:40:58.468704
10080,NEW STAR RAYMOND / RAYMOND,506670,101 COMMERCIAL STREET,POINT(-92.219416021 42.466351019),2025-02-25T12:40:58.468704
10081,COLFAX TRAVEL CENTER / COLFAX,50054,1405 NORTH WALNUT STREET,POINT(-93.24677 41.69555),2025-02-25T12:40:58.468704
10082,STOP AND SHOP LIQUOR LLC / ANKENY,500230,409 SOUTH ANKENY BOULEVARD,POINT(-93.600099037 41.72759702),2025-02-25T12:40:58.468704
10083,KWIK STAR #1189 / DE SOTO,500690,1200 GUTHRIE ST,POINT(-94.012678236 41.537511966),2025-02-25T12:40:58.468704
10084,KINGS MART #50 / IOWA CITY,522400,2875 COMMERCE DR,POINT(-91.48082 41.62841),2025-02-25T12:40:58.468704
10085,DIAMOND SPIRIT TOBACCO AND VAPE / CHARLES CITY,506160,625 NORTH MAIN STREET,POINT(-92.675647034 43.071281017),2025-02-25T12:40:58.468704
10089,CASEY'S #4306 / FAIRFIELD,525560,1601 WEST BURLINGTON AVENUE,POINT(-91.981819995 41.007097005),2025-02-25T12:40:58.468704
10090,WEST SECOND BP / OTTUMWA,52501,1049 WEST 2ND STREET,POINT(-92.42512 41.0282),2025-02-25T12:40:58.468704
10091,CASEY'S #6116 / COUNCIL BLUFFS,515010,15 NORTH 16TH STREET,POINT(-95.866990032 41.262483998),2025-02-25T12:40:58.468704
10093,CASEY'S #6117 / COUNCIL BLUFFS,515030,1759 MADISON AVENUE,POINT(-95.824670976 41.24316501),2025-02-25T12:40:58.468704
10094,CASEY'S #6134 / COUNCIL BLUFFS,515010,33501 WEST BROADWAY,POINT(-95.857519738 41.261164922),2025-02-25T12:40:58.468704
10095,CASEY'S #6122 / COUNCIL BLUFFS,515010,3434 NEBRASKA AVENUE,POINT(-95.9008 41.24495),2025-02-25T12:40:58.468704
10096,DIVISION MART / DAVENPORT,528060,3721 NORTH DIVISION STREET,POINT(-90.600368022 41.557932003),2025-02-25T12:40:58.468704
10097,CASEY'S #6127 / COUNCIL BLUFFS,51501,2711 SOUTH 24TH STREET,POINT(-95.87881 41.23476),2025-02-25T12:40:58.468704
10098,THE PUMPER / FAYETTE,521420,515 W. WATER STREET,POINT(-91.80878 42.84444),2025-02-25T12:40:58.468704
10099,MILLS GROCERY AND LIQUOR / WEST DES MOINES,50266,6630 MILLS CIVIC PKWY,POINT(-93.798391984 41.560676993),2025-02-25T12:40:58.468704
10100,EASTSIDE LIQUOR AND GROCERY / MARSHALLTOWN,501580,1116 EAST NEVADA STREET,POINT(-92.89304 42.04434),2025-02-25T12:40:58.468704
10101,CUBBY'S ODEBOLT / ODEBOLT,514580,121 NORTH DES MOINES STREET,POINT(-95.24532 42.31135),2025-02-25T12:40:58.468704
10102,WORLD LIQUOR AND TOBACCO PLUS VAPORS /  CHEROKEE,510120,114 SOUTH 2ND STREET,POINT(-95.55131 42.749),2025-02-25T12:40:58.468704
10103,WMART / DAVENPORT,528030,1205 1207 EAST LOCUST STREET,POINT(-90.557523002 41.537992),2025-02-25T12:40:58.468704
