invoice_number,order_date,store_number,county_number,category_number,vendor_number,item_number,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,etl_date
S03382700037,2012-01-03,2607,73,10121000,115,11773,48,200,1.56,2.34,8,18.72,1.6,0.42,2025-02-25T13:13:16.885776
S03397900001,2012-01-04,4531,88,10121000,260,11296,12,750,14.25,21.37,12,256.44,9.0,2.38,2025-02-25T13:13:16.885776
S03424500007,2012-01-05,4406,77,10813000,434,81206,12,750,3.7,5.55,12,66.6,9.0,2.38,2025-02-25T13:13:16.885776
S03458900010,2012-01-09,3494,7,10310800,55,35317,12,1000,3.97,5.95,180,1071.0,180.0,47.55,2025-02-25T13:13:16.885776
S03476900008,2012-01-10,4380,16,10115000,255,27102,6,750,18.08,27.13,6,162.78,4.5,1.19,2025-02-25T13:13:16.885776
S03497900010,2012-01-11,4474,78,10623100,260,43333,48,200,1.95,2.92,48,140.16,9.6,2.54,2025-02-25T13:13:16.885776
S03492600020,2012-01-12,4359,25,10112000,65,19064,24,375,4.53,6.8,2,13.6,0.75,0.2,2025-02-25T13:13:16.885776
S03564100030,2012-01-16,3524,85,10622000,434,45247,12,1000,4.33,6.5,36,234.0,36.0,9.51,2025-02-25T13:13:16.885776
S03571200002,2012-01-17,3632,31,10121000,115,11788,6,1750,10.45,15.67,12,188.04,21.0,5.55,2025-02-25T13:13:16.885776
S03610200013,2012-01-18,4044,29,10121000,260,11290,10,300,5.99,8.99,2,17.98,0.6,0.16,2025-02-25T13:13:16.885776
S03636700006,2012-01-19,4406,77,10121000,115,11788,6,1750,10.45,15.67,6,94.02,10.5,2.77,2025-02-25T13:13:16.885776
S03671900030,2012-01-23,4463,41,10310800,260,37418,6,1750,8.49,12.74,6,76.44,10.5,2.77,2025-02-25T13:13:16.885776
S03629200004,2012-01-24,3354,82,10322000,370,34117,12,1000,14.89,22.34,36,804.24,36.0,9.51,2025-02-25T13:13:16.885776
S03710800017,2012-01-25,4044,29,10111000,65,24453,48,200,1.76,2.64,4,10.56,0.8,0.21,2025-02-25T13:13:16.885776
S03745500009,2012-01-26,4504,91,10520100,420,48103,48,200,5.0,7.49,24,179.76,4.8,1.27,2025-02-25T13:13:16.885776
S03788200007,2012-01-27,4000,43,10121000,65,15248,6,1750,8.92,13.38,1,13.38,1.75,0.46,2025-02-25T13:13:16.885776
S03771300006,2012-01-30,4524,34,10622000,434,45276,12,750,3.85,5.77,4,23.08,3.0,0.79,2025-02-25T13:13:16.885776
S03794100003,2012-01-31,4366,52,10623100,260,43336,12,750,8.5,12.74,12,152.88,9.0,2.38,2025-02-25T13:13:16.885776
S03821900015,2012-02-01,4112,52,10311000,300,36886,12,750,3.3,4.96,12,59.52,9.0,2.38,2025-02-25T13:13:16.885776
S03865800007,2012-02-02,4567,77,10121000,260,11293,48,200,4.47,6.7,2,13.4,0.4,0.11,2025-02-25T13:13:16.885776
S03903500010,2012-02-06,4520,85,10810300,370,67524,24,375,6.43,9.65,24,231.6,9.0,2.38,2025-02-25T13:13:16.885776
S03915900036,2012-02-07,4356,85,10112000,65,19064,24,375,4.53,6.8,5,34.0,1.88,0.5,2025-02-25T13:13:16.885776
S03946600009,2012-02-08,4044,29,10311000,300,36908,6,1750,7.46,11.19,6,67.14,10.5,2.77,2025-02-25T13:13:16.885776
S03970300005,2012-02-09,4374,77,10310800,434,36304,24,375,2.06,3.09,12,37.08,4.5,1.19,2025-02-25T13:13:16.885776
S04023800015,2012-02-13,4606,97,10123000,370,15626,12,750,12.71,19.45,2,38.9,1.5,0.4,2025-02-25T13:13:16.885776
S04028000021,2012-02-14,4350,64,10121000,115,11771,10,600,4.96,7.44,2,14.88,1.2,0.32,2025-02-25T13:13:16.885776
S04070400008,2012-02-15,3841,31,10623100,259,43026,12,750,5.77,8.66,2,17.32,1.5,0.4,2025-02-25T13:13:16.885776
S04082700004,2012-02-16,4449,77,10310800,421,36978,6,1750,6.87,10.3,6,61.8,10.5,2.77,2025-02-25T13:13:16.885776
S04137600001,2012-02-20,4586,13,10322000,65,35626,12,750,7.87,11.81,12,141.72,9.0,2.38,2025-02-25T13:13:16.885776
S04143600005,2012-02-21,4457,52,10112000,65,19066,12,750,9.44,14.16,12,169.92,9.0,2.38,2025-02-25T13:13:16.885776
S04185000007,2012-02-22,3514,94,10312000,380,41705,12,1000,7.5,11.25,12,135.0,12.0,3.17,2025-02-25T13:13:16.885776
S04136400067,2012-02-23,4641,77,10221000,395,89194,24,375,5.49,8.24,6,49.44,2.25,0.59,2025-02-25T13:13:16.885776
