,date,store_name,city,county,category_name,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
0,2019-06-04,Fareway Stores #993 / North Liberty,North Liberty,JOHNSON,Triple Sec,12.0,1000.0,2.33,3.5,2.0,7.0,2.0,0.52
1,2020-08-04,Prime Mart - Cedar Falls,Cedar Falls,BLACK HAWK,Triple Sec,12.0,1000.0,2.33,3.5,2.0,7.0,2.0,0.52
2,2019-02-27,Hy-Vee Food Store #1636 / Spencer,Spencer,CLAY,Triple Sec,12.0,1000.0,3.0,4.5,2.0,9.0,2.0,0.52
3,2021-04-21,Main Street Liquors / Hawarden,Hawarden,SIOUX,Gold Rum,12.0,1000.0,9.5,14.25,2.0,28.5,2.0,0.52
4,2020-02-03,Hy-Vee Wine and Spirits / Storm Lake,Storm Lake,BUENA VIST,Gold Rum,12.0,1000.0,9.5,14.25,2.0,28.5,2.0,0.52
5,2019-02-15,Quillins Food Ranch / Waukon,Waukon,ALLAMAKEE,Gold Rum,12.0,1000.0,9.5,14.25,2.0,28.5,2.0,0.52
6,2019-02-08,Ruback's Food Center,Oakland,POTTAWATTA,Gold Rum,12.0,1000.0,9.5,14.25,2.0,28.5,2.0,0.52
7,2019-06-19,Brother's Market Wine and Spirits,Sigourney,KEOKUK,Aged Dark Rum,12.0,1000.0,13.0,19.5,2.0,39.0,2.0,0.52
8,2021-04-21,Hy-Vee Food and Drug / Grand / WDM,West Des Moines,POLK,Aged Dark Rum,12.0,1000.0,13.0,19.5,2.0,39.0,2.0,0.52
9,2020-10-21,Hy-Vee Food Store #1 / Ames,Ames,STORY,Straight Rye Whiskies,6.0,1000.0,21.0,31.5,2.0,63.0,2.0,0.52
10,2018-09-17,Phillips 66 / Grinnell,Grinnell,POWESHIEK,Triple Sec,12.0,1000.0,2.42,3.63,2.0,7.26,2.0,0.52
11,2019-05-30,Hy-Vee Wine and Spirits / Washington,Washington,WASHINGTON,Triple Sec,12.0,1000.0,2.42,3.63,2.0,7.26,2.0,0.52
12,2019-06-18,Food Land Super Markets,Missouri Valley,HARRISON,Triple Sec,12.0,1000.0,3.84,5.76,2.0,11.52,2.0,0.52
13,2019-06-18,Main Street Spirits / Mapleton,Mapleton,MONONA,Triple Sec,12.0,1000.0,3.84,5.76,2.0,11.52,2.0,0.52
14,2020-10-13,Schottsy's Liquor,Sibley,OSCEOLA,Triple Sec,12.0,1000.0,3.84,5.76,2.0,11.52,2.0,0.52
15,2019-05-29,Schleswig Foods And Spirits,Schleswig,CRAWFORD,Triple Sec,12.0,1000.0,3.84,5.76,2.0,11.52,2.0,0.52
16,2018-08-06,Main Street Market Of Anita,Anita,CASS,Triple Sec,12.0,1000.0,3.84,5.76,2.0,11.52,2.0,0.52
17,2019-06-18,Ida Grove Food Pride,Ida Grove,IDA,Triple Sec,12.0,1000.0,3.01,4.52,2.0,9.04,2.0,0.52
18,2017-10-31,Junction Liquor,Hartley,OBRIEN,Coffee Liqueurs,12.0,1000.0,14.99,22.49,2.0,22.49,2.0,0.52
19,2018-08-07,Hy-Vee #3 / Dubuque,Dubuque,DUBUQUE,Coffee Liqueurs,12.0,1000.0,14.99,22.49,2.0,44.98,2.0,0.52
20,2019-02-20,Hy-Vee #3 Food & Drugstore / Davenport,Davenport,SCOTT,Coffee Liqueurs,12.0,1000.0,14.99,22.49,2.0,44.98,2.0,0.52
21,2018-09-12,Cyclone Liquors,Ames,STORY,Coffee Liqueurs,12.0,1000.0,14.99,22.49,2.0,44.98,2.0,0.52
22,2019-07-01,Sac Liquor Store,Sac City,SAC,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,44.98,2.0,0.52
23,2019-07-31,Cork and Bottle / Oskaloosa,Oskaloosa,MAHASKA,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,44.98,2.0,0.52
24,2019-05-31,Sioux Food Center of Sioux Rapids,Sioux Rapids,BUENA VIST,Coffee Liqueurs,12.0,1000.0,14.99,22.49,2.0,44.98,2.0,0.52
25,2020-02-03,CVS Pharmacy #8443 / Cedar Rapids,Cedar Rapids,LINN,Straight Rye Whiskies,12.0,1000.0,20.49,30.74,2.0,61.48,2.0,0.52
26,2021-04-23,Ruback's Food Center,Oakland,POTTAWATTA,Coffee Liqueurs,12.0,1000.0,15.99,23.99,2.0,47.98,2.0,0.52
27,2019-07-17,Cork and Bottle / Oskaloosa,Oskaloosa,MAHASKA,Straight Rye Whiskies,12.0,1000.0,20.49,30.74,2.0,59.98,2.0,0.52
28,2021-04-06,Rodgers Spirits and More,Winterset,MADISON,Single Malt Scotch,12.0,1000.0,29.48,44.22,2.0,88.44,2.0,0.52
29,2021-04-22,Cyclone Liquors,Ames,STORY,Single Malt Scotch,12.0,1000.0,29.48,44.22,2.0,88.44,2.0,0.52
30,2018-09-20,Hy-Vee Food Store #1 / Mason City,Mason City,CERRO GORD,Single Malt Scotch,12.0,1000.0,28.48,42.72,2.0,85.44,2.0,0.52
31,2018-09-11,Grand Falls Casino Resort,Larchwood,LYON,Single Malt Scotch,12.0,1000.0,28.48,42.72,2.0,85.44,2.0,0.52
32,2019-06-28,Quillins Food Ranch / Waukon,Waukon,ALLAMAKEE,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
33,2019-05-31,Super Quick Mart / Windsor Heights,Windsor Heights,Polk,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
34,2019-06-20,Happy's Wine & Spirits,Cedar Falls,BLACK HAWK,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
35,2020-02-12,Hy-Vee #7 / Cedar Rapids,Cedar Rapids,LINN,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
36,2019-05-21,Grand Falls Casino Resort,Larchwood,LYON,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
37,2019-07-09,Good and Quick Co,Nevada,STORY,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
38,2020-01-21,Hy-Vee / Waverly,Waverly,BREMER,Single Malt Scotch,12.0,1000.0,28.98,43.47,2.0,86.94,2.0,0.52
39,2020-10-27,Grand Falls Casino Resort,Larchwood,LYON,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,45.46,2.0,0.52
40,2020-02-11,Good and Quick Co,Nevada,STORY,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,45.46,2.0,0.52
41,2020-01-17,Spirits Liquor,Grimes,POLK,Coffee Liqueurs,12.0,1000.0,15.15,22.73,2.0,45.46,2.0,0.52
42,2020-02-04,The Ox & Wren Spirits and Gifts,Cresco,HOWARD,Gold Rum,12.0,1000.0,4.42,6.63,2.0,13.26,2.0,0.52
43,2020-01-20,Hy-Vee Food Store / Muscatine,Muscatine,MUSCATINE,Gold Rum,12.0,1000.0,4.42,6.63,2.0,13.26,2.0,0.52
44,2019-02-27,Hy-Vee Food Store #1 / Ames,Ames,STORY,Triple Sec,12.0,1000.0,2.13,3.2,2.0,6.4,2.0,0.52
45,2020-02-13,MMDG SPIRITS / Ames,Ames,STORY,Triple Sec,12.0,1000.0,2.13,3.2,2.0,6.4,2.0,0.52
46,2020-11-24,Hubers Store,Fort Atkinson,WINNESHIEK,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
47,2019-06-20,EZ Mart / Bondurant,Bondurant,POLK,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
48,2019-02-19,Jamboree Foods,Gowrie,WEBSTER,Coffee Liqueurs,12.0,1000.0,8.39,12.59,2.0,25.18,2.0,0.52
